grid_index,up_passengers,off_passengers
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,3.0,2.0
5,0.0,0.0
6,1.0,0.0
7,0.0,1.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,1.0,5.0
38,3.0,3.0
39,4.0,0.0
40,0.0,1.0
41,0.0,1.0
42,0.0,0.0
43,0.0,19.0
44,1.0,18.0
45,0.0,8.0
46,0.0,6.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,1.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,1.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,1.0,2.0
70,7.0,5.0
71,6.0,4.0
72,3.0,6.0
73,1.0,1.0
74,1.0,0.0
75,0.0,0.0
76,0.0,35.0
77,0.0,54.0
78,0.0,0.0
79,1.0,24.0
80,0.0,1.0
81,0.0,19.0
82,0.0,39.0
83,0.0,0.0
84,0.0,0.0
85,1.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,29.0
101,21.0,243.0
102,25.0,241.0
103,65.0,383.0
104,59.0,1102.0
105,95.0,1153.0
106,3.0,231.0
107,9.0,82.0
108,0.0,2.0
109,0.0,0.0
110,0.0,0.0
111,0.0,6.0
112,5.0,5.0
113,2.0,8.0
114,2.0,195.0
115,1.0,229.0
116,6.0,89.0
117,1.0,59.0
118,0.0,2.0
119,0.0,0.0
120,1.0,0.0
121,1.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,13.0,28.0
134,29.0,423.0
135,36.0,294.0
136,68.0,1004.0
137,122.0,1147.0
138,70.0,1033.0
139,83.0,736.0
140,13.0,141.0
141,9.0,25.0
142,2.0,7.0
143,0.0,0.0
144,0.0,4.0
145,1.0,0.0
146,0.0,0.0
147,1.0,0.0
148,0.0,0.0
149,0.0,62.0
150,4.0,136.0
151,15.0,110.0
152,7.0,126.0
153,3.0,25.0
154,0.0,26.0
155,0.0,90.0
156,0.0,57.0
157,0.0,13.0
158,0.0,15.0
159,1.0,29.0
160,1.0,17.0
161,0.0,4.0
162,0.0,5.0
163,3.0,54.0
164,12.0,332.0
165,96.0,1043.0
166,91.0,1190.0
167,101.0,1014.0
168,83.0,1223.0
169,125.0,1418.0
170,69.0,927.0
171,47.0,410.0
172,0.0,51.0
173,13.0,164.0
174,14.0,83.0
175,8.0,6.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,1.0,0.0
180,0.0,0.0
181,4.0,52.0
182,0.0,5.0
183,5.0,17.0
184,0.0,28.0
185,56.0,88.0
186,16.0,123.0
187,19.0,267.0
188,3.0,312.0
189,0.0,39.0
190,0.0,23.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,82.0,2625.0
195,91.0,1661.0
196,38.0,745.0
197,59.0,1076.0
198,50.0,1050.0
199,163.0,1132.0
200,199.0,1516.0
201,125.0,1945.0
202,68.0,1066.0
203,25.0,656.0
204,63.0,649.0
205,27.0,404.0
206,10.0,236.0
207,0.0,1.0
208,0.0,0.0
209,2.0,2.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,18.0
214,0.0,1.0
215,0.0,0.0
216,0.0,0.0
217,14.0,10.0
218,4.0,52.0
219,2.0,46.0
220,7.0,155.0
221,11.0,275.0
222,0.0,146.0
223,1.0,6.0
224,0.0,0.0
225,0.0,0.0
226,78.0,1983.0
227,358.0,4865.0
228,77.0,1424.0
229,54.0,1258.0
230,37.0,824.0
231,125.0,940.0
232,305.0,1854.0
233,137.0,1769.0
234,212.0,1582.0
235,84.0,892.0
236,90.0,744.0
237,35.0,444.0
238,34.0,379.0
239,20.0,131.0
240,0.0,6.0
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,0.0
245,0.0,1.0
246,0.0,0.0
247,3.0,0.0
248,0.0,0.0
249,2.0,1.0
250,8.0,10.0
251,3.0,12.0
252,6.0,59.0
253,5.0,169.0
254,4.0,280.0
255,1.0,112.0
256,0.0,43.0
257,0.0,0.0
258,24.0,1169.0
259,311.0,3746.0
260,277.0,2149.0
261,75.0,1580.0
262,98.0,1589.0
263,644.0,2327.0
264,1298.0,6149.0
265,659.0,4736.0
266,464.0,2357.0
267,105.0,758.0
268,112.0,600.0
269,74.0,694.0
270,119.0,826.0
271,71.0,634.0
272,12.0,124.0
273,0.0,1.0
274,3.0,0.0
275,10.0,6.0
276,0.0,0.0
277,0.0,0.0
278,0.0,0.0
279,20.0,61.0
280,75177.0,31369.0
281,1082.0,15505.0
282,22.0,19.0
283,23.0,23.0
284,7.0,294.0
285,1.0,98.0
286,1.0,207.0
287,6.0,156.0
288,6.0,53.0
289,0.0,0.0
290,0.0,1.0
291,211.0,709.0
292,477.0,2632.0
293,650.0,4810.0
294,45.0,421.0
295,492.0,4814.0
296,928.0,5581.0
297,1714.0,9410.0
298,355.0,3378.0
299,121.0,877.0
300,173.0,1068.0
301,96.0,738.0
302,78.0,404.0
303,67.0,573.0
304,66.0,616.0
305,79.0,166.0
306,2.0,7.0
307,0.0,207.0
308,24.0,150.0
309,0.0,3.0
310,784.0,980.0
311,4732.0,3457.0
312,100936.0,36487.0
313,226017.0,50843.0
314,19.0,33.0
315,14.0,72.0
316,4.0,122.0
317,5.0,307.0
318,5.0,177.0
319,1.0,61.0
320,1.0,19.0
321,0.0,0.0
322,8.0,9.0
323,0.0,0.0
324,7.0,173.0
325,497.0,2154.0
326,2925.0,13982.0
327,2029.0,17575.0
328,99.0,460.0
329,2278.0,11260.0
330,417.0,6005.0
331,406.0,3361.0
332,400.0,1906.0
333,195.0,1208.0
334,257.0,978.0
335,222.0,1092.0
336,84.0,742.0
337,59.0,315.0
338,34.0,334.0
339,37.0,561.0
340,59.0,351.0
341,94.0,603.0
342,826.0,1887.0
343,1608.0,5616.0
344,2933.0,4664.0
345,132.0,1257.0
346,85.0,500.0
347,31.0,478.0
348,20.0,324.0
349,24.0,399.0
350,31.0,190.0
351,9.0,87.0
352,1.0,40.0
353,0.0,0.0
354,0.0,1.0
355,0.0,1.0
356,574.0,4110.0
357,5465.0,9299.0
358,5919.0,12227.0
359,11169.0,32968.0
360,8204.0,25827.0
361,3990.0,21982.0
362,2438.0,14887.0
363,1312.0,6415.0
364,645.0,3701.0
365,427.0,2186.0
366,194.0,876.0
367,169.0,1046.0
368,120.0,939.0
369,219.0,1039.0
370,83.0,496.0
371,149.0,980.0
372,107.0,782.0
373,42.0,536.0
374,64.0,626.0
375,1989.0,1364.0
376,57.0,379.0
377,64.0,917.0
378,42.0,483.0
379,24.0,294.0
380,6.0,389.0
381,14.0,284.0
382,2.0,118.0
383,8.0,98.0
384,1.0,39.0
385,2.0,2.0
386,1.0,0.0
387,1.0,0.0
388,547.0,1023.0
389,8588.0,16991.0
390,28206.0,48705.0
391,28396.0,38069.0
392,7822.0,29245.0
393,5939.0,23066.0
394,2172.0,16721.0
395,1220.0,11151.0
396,1123.0,9438.0
397,865.0,8707.0
398,154.0,1607.0
399,21.0,415.0
400,73.0,531.0
401,71.0,1159.0
402,81.0,1131.0
403,122.0,1073.0
404,51.0,1005.0
405,215.0,1151.0
406,1197.0,1294.0
407,595.0,718.0
408,34.0,397.0
409,23.0,347.0
410,11.0,265.0
411,7.0,325.0
412,26.0,348.0
413,61.0,762.0
414,16.0,80.0
415,4.0,53.0
416,6.0,26.0
417,0.0,0.0
418,6.0,14.0
419,15.0,3.0
420,57496.0,65240.0
421,6061.0,11481.0
422,28721.0,67503.0
423,11098.0,22908.0
424,3345.0,15853.0
425,3132.0,10181.0
426,2776.0,12966.0
427,5780.0,17522.0
428,2872.0,17428.0
429,1167.0,9297.0
430,330.0,4385.0
431,82.0,1516.0
432,34.0,469.0
433,26.0,512.0
434,200.0,1184.0
435,32.0,891.0
436,188.0,1242.0
437,267.0,1076.0
438,1726.0,2805.0
439,107.0,714.0
440,41.0,419.0
441,15.0,294.0
442,24.0,330.0
443,6.0,348.0
444,21.0,392.0
445,1.0,196.0
446,1.0,60.0
447,1.0,52.0
448,0.0,14.0
449,30.0,125.0
450,118.0,523.0
451,37.0,38.0
452,357925.0,362904.0
453,200631.0,209458.0
454,38046.0,62767.0
455,4957.0,28167.0
456,6237.0,19845.0
457,31712.0,52064.0
458,16063.0,41142.0
459,5654.0,12151.0
460,2235.0,6233.0
461,226.0,3808.0
462,329.0,4253.0
463,50.0,950.0
464,30.0,986.0
465,28.0,734.0
466,202.0,1240.0
467,40.0,1059.0
468,664.0,3743.0
469,982.0,2789.0
470,390.0,2202.0
471,320.0,1665.0
472,226.0,1492.0
473,39.0,744.0
474,4.0,407.0
475,546.0,874.0
476,9.0,323.0
477,36.0,316.0
478,3.0,42.0
479,0.0,30.0
480,0.0,27.0
481,81.0,376.0
482,376.0,1607.0
483,35.0,68.0
484,101715.0,116726.0
485,520725.0,448670.0
486,699258.0,531809.0
487,230735.0,261138.0
488,787.0,8754.0
489,18568.0,44493.0
490,8370.0,33216.0
491,890.0,5707.0
492,56.0,308.0
493,112.0,720.0
494,404.0,2404.0
495,296.0,2318.0
496,36.0,1566.0
497,311.0,2315.0
498,671.0,5916.0
499,1445.0,8472.0
500,753.0,3248.0
501,212.0,1477.0
502,211.0,1619.0
503,83.0,1250.0
504,40.0,848.0
505,17.0,486.0
506,58.0,527.0
507,76.0,440.0
508,7.0,387.0
509,9.0,305.0
510,22.0,214.0
511,18.0,121.0
512,0.0,56.0
513,44.0,117.0
514,418.0,1228.0
515,131.0,501.0
516,22095.0,38205.0
517,776126.0,637057.0
518,907365.0,745589.0
519,484623.0,481437.0
520,11134.0,30461.0
521,4237.0,22042.0
522,1276.0,3997.0
523,844.0,1704.0
524,975.0,7501.0
525,413.0,1516.0
526,484.0,3930.0
527,1360.0,2902.0
528,1934.0,5152.0
529,2220.0,6578.0
530,1027.0,6521.0
531,608.0,2669.0
532,72.0,196.0
533,49.0,883.0
534,88.0,1312.0
535,24.0,700.0
536,36.0,659.0
537,14.0,549.0
538,3.0,120.0
539,8.0,472.0
540,23.0,360.0
541,18.0,178.0
542,58.0,207.0
543,20.0,244.0
544,1.0,82.0
545,16.0,67.0
546,160.0,792.0
547,167.0,781.0
548,4361.0,6636.0
549,554359.0,516166.0
550,1340123.0,1135766.0
551,1148052.0,1079657.0
552,271086.0,276611.0
553,6354.0,28616.0
554,10120.0,21234.0
555,16040.0,15283.0
556,18296.0,21099.0
557,8978.0,16541.0
558,7793.0,14158.0
559,6458.0,18982.0
560,2834.0,11741.0
561,751.0,4675.0
562,311.0,2895.0
563,212.0,279.0
564,144.0,451.0
565,226.0,1060.0
566,25.0,353.0
567,5.0,110.0
568,13.0,612.0
569,11.0,307.0
570,5.0,246.0
571,10.0,415.0
572,7.0,113.0
573,4.0,117.0
574,17.0,289.0
575,7.0,222.0
576,2.0,75.0
577,12.0,36.0
578,53.0,180.0
579,259.0,743.0
580,54.0,50.0
581,149983.0,227161.0
582,902316.0,760311.0
583,1309805.0,1255424.0
584,1276512.0,1100326.0
585,251887.0,260012.0
586,6397.0,11759.0
587,12961.0,19940.0
588,16915.0,41256.0
589,6517.0,25354.0
590,2750.0,6569.0
591,2524.0,6542.0
592,3173.0,7238.0
593,885.0,3273.0
594,417.0,1794.0
595,33.0,279.0
596,526.0,3693.0
597,178.0,2525.0
598,35.0,706.0
599,28.0,541.0
600,45.0,573.0
601,6.0,510.0
602,45.0,659.0
603,5.0,179.0
604,1.0,159.0
605,3.0,211.0
606,9.0,157.0
607,3.0,205.0
608,2.0,24.0
609,2.0,29.0
610,24.0,134.0
611,126.0,306.0
612,49.0,177.0
613,3548.0,3837.0
614,239424.0,272902.0
615,728252.0,641697.0
616,358499.0,329388.0
617,889778.0,870616.0
618,228385.0,253081.0
619,3892.0,10470.0
620,16044.0,35925.0
621,11735.0,35045.0
622,2643.0,8615.0
623,14912.0,9160.0
624,75415.0,6793.0
625,361700.0,155087.0
626,1022.0,32286.0
627,12.0,322.0
628,142.0,644.0
629,69.0,981.0
630,27.0,528.0
631,5.0,441.0
632,2.0,331.0
633,2.0,389.0
634,3.0,258.0
635,4.0,134.0
636,16.0,313.0
637,9.0,218.0
638,0.0,92.0
639,2.0,15.0
640,0.0,42.0
641,38.0,202.0
642,13.0,40.0
643,10.0,71.0
644,54.0,207.0
645,76.0,268.0
646,25297.0,36897.0
647,521498.0,489469.0
648,188097.0,206925.0
649,603320.0,611353.0
650,296119.0,319889.0
651,381.0,2337.0
652,544.0,1935.0
653,1237.0,9341.0
654,108.0,1322.0
655,1.0,38.0
656,28.0,19.0
657,15.0,9.0
658,3.0,129.0
659,50.0,594.0
660,29.0,338.0
661,46.0,605.0
662,19.0,494.0
663,13.0,396.0
664,2.0,336.0
665,5.0,734.0
666,0.0,16.0
667,1.0,59.0
668,0.0,49.0
669,11.0,171.0
670,4.0,161.0
671,2.0,47.0
672,2.0,15.0
673,6.0,25.0
674,12.0,15.0
675,4.0,20.0
676,10.0,57.0
677,58.0,164.0
678,51.0,69.0
679,56532.0,77425.0
680,331695.0,328791.0
681,64064.0,78786.0
682,55783.0,97269.0
683,27428.0,60302.0
684,707.0,890.0
685,17.0,149.0
686,0.0,0.0
687,0.0,1.0
688,21.0,19.0
689,11.0,12.0
690,5.0,32.0
691,28.0,267.0
692,12.0,50.0
693,5.0,235.0
694,8.0,218.0
695,5.0,553.0
696,3.0,14.0
697,0.0,22.0
698,0.0,0.0
699,3.0,21.0
700,6.0,52.0
701,11.0,102.0
702,0.0,32.0
703,4.0,22.0
704,10.0,39.0
705,0.0,0.0
706,1.0,1.0
707,0.0,10.0
708,6.0,21.0
709,7.0,38.0
710,41.0,132.0
711,9.0,25.0
712,72677.0,90414.0
713,62692.0,116510.0
714,27524.0,70319.0
715,19878.0,55715.0
716,2322.0,6816.0
717,333.0,2776.0
718,95.0,757.0
719,1.0,191.0
720,1.0,90.0
721,18.0,86.0
722,14.0,309.0
723,1.0,25.0
724,5.0,16.0
725,0.0,5.0
726,0.0,7.0
727,5.0,78.0
728,0.0,29.0
729,0.0,1.0
730,0.0,1.0
731,2.0,27.0
732,0.0,11.0
733,2.0,28.0
734,0.0,25.0
735,0.0,19.0
736,0.0,14.0
737,0.0,0.0
738,4.0,3.0
739,5.0,13.0
740,0.0,7.0
741,6.0,8.0
742,11.0,32.0
743,11.0,46.0
744,77.0,82.0
745,29582.0,40109.0
746,12793.0,44307.0
747,6727.0,20833.0
748,1423.0,5085.0
749,824.0,4305.0
750,241.0,2447.0
751,148.0,1548.0
752,41.0,504.0
753,61.0,655.0
754,44.0,607.0
755,19.0,439.0
756,32.0,56.0
757,21.0,447.0
758,14.0,294.0
759,1.0,55.0
760,0.0,0.0
761,0.0,0.0
762,0.0,0.0
763,0.0,1.0
764,0.0,3.0
765,0.0,9.0
766,1.0,1.0
767,0.0,0.0
768,1.0,2.0
769,0.0,0.0
770,0.0,0.0
771,5.0,16.0
772,2.0,1.0
773,13.0,25.0
774,8.0,29.0
775,10.0,78.0
776,7.0,61.0
777,81.0,1598.0
778,16585.0,41093.0
779,1629.0,10753.0
780,1311.0,6248.0
781,615.0,3612.0
782,269.0,1701.0
783,131.0,1304.0
784,110.0,1811.0
785,120.0,1416.0
786,381.0,2056.0
787,182.0,567.0
788,19.0,195.0
789,18.0,516.0
790,0.0,130.0
791,0.0,0.0
792,0.0,0.0
793,0.0,0.0
794,0.0,0.0
795,0.0,5.0
796,0.0,12.0
797,0.0,0.0
798,0.0,0.0
799,0.0,0.0
800,0.0,2.0
801,2.0,10.0
802,2.0,7.0
803,0.0,0.0
804,0.0,1.0
805,4.0,19.0
806,6.0,34.0
807,11.0,38.0
808,20.0,107.0
809,0.0,1.0
810,3745.0,19487.0
811,5741.0,24371.0
812,319.0,2393.0
813,582.0,4368.0
814,204.0,1375.0
815,104.0,996.0
816,173.0,914.0
817,122.0,1070.0
818,99.0,1504.0
819,84.0,875.0
820,22.0,1113.0
821,5.0,558.0
822,3.0,101.0
823,0.0,0.0
824,4.0,190.0
825,6.0,14.0
826,0.0,0.0
827,0.0,0.0
828,0.0,0.0
829,0.0,0.0
830,0.0,0.0
831,5.0,21.0
832,1.0,8.0
833,0.0,1.0
834,0.0,3.0
835,9.0,20.0
836,15.0,34.0
837,9.0,19.0
838,2.0,11.0
839,22.0,104.0
840,70.0,196.0
841,7.0,35.0
842,118.0,1270.0
843,3739.0,27484.0
844,306.0,5137.0
845,181.0,1821.0
846,305.0,2651.0
847,138.0,1965.0
848,32.0,692.0
849,133.0,1814.0
850,46.0,794.0
851,34.0,1131.0
852,11.0,455.0
853,17.0,131.0
854,0.0,0.0
855,0.0,2.0
856,11.0,103.0
857,0.0,0.0
858,0.0,0.0
859,0.0,0.0
860,0.0,0.0
861,0.0,0.0
862,0.0,5.0
863,0.0,2.0
864,0.0,0.0
865,0.0,0.0
866,4.0,4.0
867,0.0,7.0
868,3.0,10.0
869,21.0,43.0
870,2.0,16.0
871,2.0,15.0
872,29.0,76.0
873,5.0,33.0
874,0.0,1.0
875,102.0,984.0
876,2105.0,15458.0
877,345.0,4239.0
878,274.0,2673.0
879,172.0,2288.0
880,127.0,911.0
881,31.0,994.0
882,47.0,436.0
883,16.0,403.0
884,49.0,341.0
885,19.0,432.0
886,0.0,4.0
887,0.0,0.0
888,0.0,0.0
889,0.0,0.0
890,0.0,0.0
891,0.0,0.0
892,0.0,0.0
893,1.0,1.0
894,0.0,1.0
895,0.0,0.0
896,0.0,0.0
897,1.0,4.0
898,0.0,1.0
899,45.0,48.0
900,2.0,12.0
901,9.0,28.0
902,3.0,17.0
903,12.0,44.0
904,4.0,26.0
905,5.0,17.0
906,1.0,6.0
907,0.0,0.0
908,65.0,801.0
909,276.0,3925.0
910,333.0,2711.0
911,66.0,1130.0
912,131.0,1929.0
913,67.0,556.0
914,22.0,455.0
915,15.0,239.0
916,30.0,556.0
917,21.0,251.0
918,0.0,10.0
919,0.0,2.0
920,0.0,11.0
921,0.0,0.0
922,0.0,0.0
923,0.0,0.0
924,0.0,0.0
925,0.0,0.0
926,0.0,0.0
927,0.0,0.0
928,0.0,0.0
929,2.0,6.0
930,0.0,9.0
931,4.0,9.0
932,8.0,21.0
933,3.0,17.0
934,1.0,3.0
935,10.0,37.0
936,9.0,38.0
937,0.0,3.0
938,15.0,35.0
939,0.0,1.0
940,0.0,7.0
941,71.0,3109.0
942,87.0,2496.0
943,7.0,71.0
944,32.0,196.0
945,25.0,608.0
946,35.0,602.0
947,20.0,368.0
948,3.0,182.0
949,1.0,56.0
950,0.0,36.0
951,2.0,41.0
952,3.0,36.0
953,0.0,17.0
954,0.0,2.0
955,0.0,0.0
956,0.0,0.0
957,0.0,0.0
958,0.0,0.0
959,0.0,0.0
960,0.0,0.0
961,0.0,3.0
962,1.0,11.0
963,2.0,16.0
964,7.0,23.0
965,4.0,7.0
966,4.0,8.0
967,3.0,11.0
968,4.0,18.0
969,8.0,10.0
970,6.0,10.0
971,0.0,7.0
972,0.0,0.0
973,1.0,289.0
974,56.0,1886.0
975,1.0,13.0
976,6.0,148.0
977,38.0,1254.0
978,99.0,309.0
979,10.0,185.0
980,3.0,65.0
981,2.0,18.0
982,2.0,69.0
983,2.0,45.0
984,4.0,21.0
985,3.0,75.0
986,0.0,9.0
987,0.0,0.0
988,0.0,0.0
989,0.0,0.0
990,0.0,0.0
991,0.0,0.0
992,0.0,0.0
993,0.0,5.0
994,9.0,16.0
995,0.0,3.0
996,3.0,6.0
997,1.0,5.0
998,0.0,0.0
999,4.0,5.0
1000,3.0,14.0
1001,0.0,1.0
1002,0.0,0.0
1003,0.0,0.0
1004,0.0,0.0
1005,4.0,80.0
1006,6.0,351.0
1007,2.0,72.0
1008,0.0,49.0
1009,0.0,20.0
1010,6.0,58.0
1011,3.0,22.0
1012,7.0,29.0
1013,0.0,11.0
1014,3.0,46.0
1015,3.0,41.0
1016,2.0,53.0
1017,7.0,128.0
1018,0.0,4.0
1019,0.0,0.0
1020,0.0,0.0
1021,0.0,0.0
1022,0.0,0.0
1023,0.0,0.0
1024,0.0,0.0
